,state,count
51,AB,528
8,AK,18627
33,AL,3908
30,AR,4162
15,AZ,6808
45,BC,1584
2,CA,27203
4,CO,23686
43,CT,2084
55,DE,522
11,FL,10159
22,GA,4695
62,GU,262
47,HI,1568
32,IA,3911
7,ID,21592
26,IL,4432
35,IN,3127
18,KS,5468
40,KY,2609
27,LA,4423
24,MA,4682
60,MB,264
48,MD,1564
37,ME,2866
14,MI,7287
31,MN,3912
23,MO,4695
63,MP,261
36,MS,2872
1,MT,27662
53,NB,528
19,NC,5209
39,ND,2613
21,NE,4697
44,NH,1820
38,NJ,2860
54,NL,528
13,NM,7344
52,NS,528
61,NT,264
10,NV,12102
12,NY,7549
16,OH,6253
29,OK,4168
46,ON,1584
3,OR,26062
17,PA,5730
59,PE,264
57,PR,518
58,QC,264
50,RI,781
34,SC,3383
25,SD,4437
42,TN,2356
9,TX,15128
0,UT,31642
28,VA,4173
56,VI,518
49,VT,1302
6,WA,23665
20,WI,4952
41,WV,2608
5,WY,23684
